log_source,analytic_references,platforms
WinEventLog:WinRM,1,Windows
ETW:ProcThread,1,Windows
Autoruns:RegistryScan,1,Windows
WinEventLog:iis,1,Windows
macos:auth,1,macOS
gcp:iam,1,Identity Provider
WinEventLog:Microsoft-Windows-Windows Camera Frame Server/Operational,1,Windows
containers:osquery,1,Containers
docker:stats,1,Containers
saas:RepoEvents,1,SaaS
saas:PRMetadata,1,SaaS
macos:cron,1,macOS
fs:quarantine,1,macOS
desktop:file_manager,1,Linux
firmware:integrity ,1,Windows
networkdevice:Flow,1,Network Devices
fs:plist_monitoring,1,macOS
ApplicationLog:EntraIDPortal,1,Identity Provider
ApplicationLog:Intune/MDM Logs,1,Windows
snmp:trap,1,Network Devices
cni:netflow,1,Containers
CloudTrail:GetObject,1,IaaS
saas:finance,1,SaaS
gcp:vpcflow,1,IaaS
ESXiLogs:messages,1,ESXi
etw:Microsoft-Windows-Security-Auditing,1,Windows
Microsoft Entra ID Audit Logs,1,Identity Provider
Microsoft Graph API Logs,1,Office Suite
Google Admin Audit,1,SaaS
macos:jamf,1,macOS
m365:oauth,1,Office Suite
auditd:AUTH,1,Linux
auditd:memprotect,1,Linux
auditd:file-events,1,Linux
WinEventLog:Microsoft-Windows-Shell-Core,1,Windows
saas:collaboration,1,SaaS
Netfilter/iptables,1,Linux
systemd:unit,1,Containers
saas-app:auth,1,SaaS
networkdevice:IDS,1,Network Devices
WinEventLog:Microsoft-IIS-Configuration,1,Windows
macos:MDM,1,macOS
etw:Microsoft-Windows-Directory-Services-SAM,1,Windows
ApplicationLog:CallRecords,1,Windows
NetFlow:Flow,1,Linux
IDS:TLSInspection,1,Network Devices
macos:fsevents,1,macOS
ETW,1,Windows
saas:integration,1,SaaS
VPCFlowLogs:All,1,IaaS
etw:Microsoft-Windows-Kernel-Base,1,Windows
azure:vpcflow,1,IaaS
WinEventLog:Microsoft-Windows-Security-Mitigations/KernelMode,1,Windows
ESXiLogs:authlog,1,ESXi
prometheus:metrics,1,Containers
container:cni,1,Containers
EDR:scriptblock,1,Windows
firmware:runtime,1,Network Devices
WinEventLog:Kerberos,1,Windows
windows:osquery,1,Windows
wineventlog:dhcp,1,Windows
gatekeeper/quarantine database,1,macOS
azure:vmguest,1,IaaS
etw:Microsoft-Windows-Kernel-Storage,1,Windows
saas:adminapi,1,SaaS
linux:shell,1,Linux
EDR:memory,1,Windows
fs:filesystem,1,macOS
snmp:syslog,1,Network Devices
saas:appsscript,1,SaaS
macOS:unifiedlog,1,macOS
WinEventLog:Microsoft-Windows-VSS,1,Windows
networkdevice:audit,1,Network Devices
etw:Microsoft-Windows-Kernel-File,1,Windows
EDR:Telemetry,1,Windows
WinEventLog:Microsoft-Windows-Kernel-Boot,1,Windows
WinEventLog:Microsoft-Windows-Backup,1,Windows
Windows Firewall Log,1,Windows
etw:Microsoft-Windows-NDIS-PacketCapture,1,Windows
linux:fim,1,ESXi
docker:api,1,Containers
kubernetes:orchestrator,1,Containers
ApplicationLogs:SQL,1,Linux
networkconfig,1,Network Devices
network:auth,1,Network Devices
saas:email,1,Office Suite
WinEventLog:Microsoft-Windows-WLAN-AutoConfig,1,Windows
WIDS:AssociationLogs,1,Network Devices
WinEventLog:AppLocker,1,Windows
WinEventLog:Microsoft-Windows-COM/Operational,1,Windows
